	author	comment
71	Karim Marhraoui	The director, Alan Parker, doesn't get any credit. The technical aspects of this scene (hell of this entire movie) are mind-blowing. The average person will simply enjoy the song which is of course a masterpiece but the fact that someone thought to shoot this scene this way in the 1980s is astonishing. May you rest in peace, Mr. Parker. You will forever be remembered for giving us such a feast for the eyes.
72	Lorraine Laino	I remember Pink Floyd when I was 15yrs old 1973 Dark Side of The Moon,one of the best albums ever made. And to this I play this album what a happy memory I have!!.
73	Guillermo Leiton.	Esta version es la mejor de todas 👍🙌💪
74	kiraz	This song somehow brings me into childhood. Love from 🇷🇺
75	PinkFloyd Addicted	Pink Floyd is not music. Is a portal for another dimension. When i listen to Pink Floyd there's no space around me.
76	S I O M A I	I am a 2nd year college student right now, and it makes me tear up a bit knowing how this song is still dead on accurate with today's education system. I knew this song since I was a kid and was honestly terrified of the video, but now I'm horrified because what this song says is true.
77	Rafael Garcia	Me ha encantado el ritmo y la melodía.
78	Добрый Самурай	There are no such geniuses and there will not be!These masterpieces are relevant at any age!🤜🏼🤛🏼
79	Felicia Rufino	Love this song
80	Allan Avery	A revolutionary video .. a musical gem ! What great sound effects which compliment the relentless rhythm cord !!
81	Andy Subs	Siempre se me pone la piel de gallina al escuchar el coro de la canción cantada por los niños! Se oye tan tétrico, tan surreal... Y la melodía es una joya completa. Éste es uno de los mejores temas de todos los tiempos.
82	МФЦ-Продажа имущества	Pink Floyd Наш Выбор !!!
83	uma pessoa q te ama ♡	Amo eles
84	Adriana Anchundia	es increíble mis papás escuchaban está música, me han dado el mejor viaje a la buena música, los amo
85	matheo llanos10	Por más que pasen los Años ...siento lo Mismo...e el mensaje de esta película y su música vigente totalmente !
86	irontwinks	I first heard this song in 1979 when I was in the 8th grade. I am over 50 now and my grade school daughter loves this song. Pink Floyd's music endures over multiple generations...like fine classical music. Shine on!
87	katia mara	Clipe pesado. A música é sensacional!
88	Ashek Ferdous	My first Pink Floyd song. Heard first time probably back in 1994 or even before. Still one of my fav right after High Hopes and Coming Back To Life. Actually love all the Pink Floyd songs...…. Just wish to attend one of their concert......
89	What Else	The masterpiece 🔥
90	Edileia Machado	Esse filme relata pura realidade....
91	Felipe Skorek	Que obra de arte, que música, que clipe.
92	am	Nunca se olvida. Desde ❤CÓRDOBA 🇦🇷ARGENTINA
93	Rodolfo Kuri	Hola Hola, que buena onda de música de mis tiempos de jóvenes gracias por compartir felicidades saludos 🇲🇽🎼☮️🌈❤️🙏
94	Noel Lucio	Muito bom
95	kaur pinky	Simply amazing. Profound capture
96	Shannon	Loved this song as kid in the 70's. Now I'm a teacher. I feel attacked.
97	Friederike Karil	I love the work, keep it up!!
98	Adolfo Carranza	I began to listen to this song since1980. it is 2022 and still listen to it. What can i say it is Masterpiece
99	Caga Joel	This masterpeace still at its best.....kudos pink floyd...
100	Sergiej Zelenkov	Бессмертная музыка ! Будет звучать в ВЕКАХ !!!
101	Martin Košek	If you're watching this in 2020 you have a great taste of music.
102	Ireneusz Duma	the lyrics are still up to date
103	Joe Parker	This was a huge single for them. In the day of waiting for the newest song that you love to come on the radio. Waiting by the radio. Waiting. And then it comes on. And you lose your mind all over again. That's one thing that younger people will never be able to appreciate. There was magic in the songs then because of that. A different kind of magic. Or maybe a deeper appreciation.
104	Jangyubin〰️🦅	Amo essa musica.
105	BLASSED	Brasil só amo música internacional
106	Caitlin Chap	This song is now 40 years old and still as popular as ever 💗
107	geraldoiclea@gmail.com Furlaneto	Sensacional
108	Júlio Pratas	Está banda será eterna
109	Karol Kordysz	Najlepszy zespół
110	José Maria de Oliveira Souza	PINK FLOYD CLÁSSICO DOS CLÁSSICOS ......
111	Taruno	Around 40 years has gone by and this song is still relevant. I'm just amazed.
112	caro nomade	a timeless masterpiece
113	Oscar Garcia Miguel	Gran canción y gran vídeo. Para la eternidad 👌. Un saludo a tod@s desde España.
114	Bleak flame 2	A song beyond its time...Posterity guaranteed
115	roselene felipe	Fabuloso, maravilhoso, espetacular!!!!!
116	Dayday Pokerking	April 2019 great song April 2024 great song April 3019 great song Timeless master piece
117	Nadja Dallloxa	O ano é 2022 e eu aqui curtindo pink Floyd 👏👏🍻🍻 nunca fica velha pra mim Rock é cultura viva o Rock n roll 🤘
118	Angel Caramanos	UNA SUPER OBRA INSPIRADA EN LOS RESCOLDOS DE LA SEGUNDA GUERRA MUNDIAL. OBRA MAESTRA DEL SIGLO XX..🏆( ͡°ᴥ ͡° ʋ)
119	Alejandro Madrigal	Estos individuos le cantaron a los cimientos de nuestra civilización y la hicieron tambalear, son unos genios.
120	Ernani Welter	Uma das mais pelas canções de todos os tempos
121	Fish Fart	Its crazy how many people come back to this everyday... this song is a masterpiece!!
122	JP 8	Il y est des films qui marque une vie...celui-ci en fait partie....merci Pink Floyd
123	Albert Barrett	This is a great song that I would love to hear and hopefully get to go and see the band they are very awesome
124	Zhr75 Frag	Божественно!
125	Maria Nilzete Sales	Chique d+ ❤️🙏🦁
126	Andrew Linn	"The student's poem read by the teacher is in the lyrics of their song, ""Money"" from Dark Side of The Moon! Love it!"
127	Alicia Thomas	LOVE THIS SONG
128	Silvania Maria	Amo essa música.
129	Lucie Marquis	Wish i could Turnback time to see them in concert 🤩
130	Walison Gomes mendes	Música boa outro nível
131	RAC music	Lets be honest: This song wasn't in your recommendations, you searched for it.
132	Maria Nilzete Sales	Sucesso ❤️ SEMPRE 🥰
133	Paulo Oliveira	Muito louco
134	simon	Day 300 listening to pink floyd everyday for 1 year… OH BOY WE’RE ALMOST THERE
135	Leonardo van Erven	Pensar que nos dias de hoje um clipe desse não seria aprovado nem ferrando kkk
136	guy_in_the_moon	6 decades later and the message still hits hard
137	Priscila alves hildebrande pinto	esse clipe e essa musica sao fodas demais
138	dorota piatyszek	Super ! Dziękuję ! Pięknie dziękuję !
139	Mitch Rimland	My math teacher would play this every Friday at the end of class in high school '83. She was the coolest teacher I ever had.
140	Cris Fuentes	me encantó la cancion
141	Peggy Kellar	I am an 82 year old great grandma, I love this song by Pink Floyd. Yep, I am a little different from most old people. Maybe I am nuts.
142	simon	Day 290 listening to pink floyd everyday for 1 year.
143	Ainmalyz 333	The best band ever,this song is Legendary
144	Kethleen Cybelle	A critica social dessa música é de arrepiar !!!!
145	Masie Kell	I give more respect to this then any other other
146	Kelly Springer	A decade later this song has become more relevant to our children than ever before.
147	Rubén Vázquez	God, I love this video. It perfectly reflects what they have tried to implement on generation after generation of children, and the consequent inner rebellion against their enslaving ideology. Interesting enough, we are now coming to an end of this long story, where everyone of us is deciding on which side to stand...
148	Napo Oliveros	"Muchas veces he escuchado gente hablando mal de Roger y no saben de que hablan, el siempre ha sido un "" anti sistema"" eso fue "" Pinkk Floyd"". Eso "" murio"" cuando se fue cuando se fue. ¡ Se fue! David es un maravilloso guitarrista y todos los que le acompañaro pero pero ese grupu "" nacio"" un grupo en contra del sistema, luego de ello, no es Pink Floyd"
149	Angela Colburn	Sublime. Like my school days.
150	Maria Franca Acquadro	Meravigliosi ♥️
151	tyler	The part where the kids fall in the meat grinders, and the people on the train’s masks used to scare the fuck out of me. And give me goosebumps to this day
152	Michelle	One of my mom's favorite, grew up hearing this song all the time.
153	D Hall	A raw power that has never really been captured by bands since
154	Ashrith Deshmukh	MASTERPIECE !
155	João Aureliano Miranda Teixeira	A maior banda de todos os tempos!
156	Graziii santana	amoo essa música ❤❤amo essa banda pink Floyd 😍👏🎵🎤
157	Alvaro Alday Lacave	SUBLIME.OBRA DE ARTE.
158	خالد الخضير	I love this song. We were subjected to injustice from this category. I am from this generation. This song should be immortal for generations. I am sad, sad, true. The teacher was an aristocrat. He was ignorant. He learned strength and did not learn education. Ignorant people torment us from them,,,, Want to know who the strangers are?
159	Trick Gum	That pre echo always does it for me
160	simon	Day 360 listening to pink floyd everyday for 1 year
161	Arman Parvez	"""All in all you’re just another brick in the wall."" This line gives me goosebumps."
162	Frederic Simard	Can't wait for it to reach 1 billion views.
163	anderson montoya	esta cancion me hace sentir muchas emociones ala vez
164	Moha Mohamed	Extraordinary song soo perfect
165	James Gibson	This was the first single I bought, an amazing day!!!
166	Nicolás Neyret	Por más que pasen los años, el mensaje sigue vigente! Aguante pink floyd
167	Yolanda Irene Oviedo	Tube la oportunidad,de ir a ver cuando al país trajeron algunos bloques del muro,fue una experiencia y sensaciones al poder verlos y poder tocarlos.Innolvidable
168	Bitcoin_Catchers	Its amazing song
169	Maria Violeta Chavez Ramos	Excelente servicio
170	Maria Pawlicka	Zawsze jest ta Muzyka na czasie. Dla mlodych i starych pokolen. Niesmiertelna
171	TheShadowParliament	Do people know what is really scary about all this? The video and song has more meaning now than ever before.
172	Keith Lewis	I listen to this ablum loud!! and ALL my neighbors listen also, even if they don't like it 👊😎
173	Maycon de Castro	Clássico clássico 😁🖕🍺
174	Javier Prio	Fantástica canción
175	John Guadeloupe	Since I heard this record in the late seventies it has stood the test of time thanks to the David Gilmour guitar solo. 43 years old and still marvellous.
176	Maria Fernanda Weber	Man this song will never lose its shining. Just like its story... Love It.
177	HARD PUNTO Com	A really master piece against the obsolescence of traditional education that is unfortunately present to these days (2022)
178	Chivania	That's the first song i've ever seen from Pink Floyd, im not a fan but i really love it.
179	Edilmar antonio Santos	Amo suas letras Obrigado amigos Brasil agradece...
180	Laure Courboin	Cette version est vraiment la meilleure !
181	KM Ko	probably one of the first songs of this genre I listened to.. around 15 years ago when I was in highschool, this song kept playin in class in my mind, continuously.. i was a straight A valedictorian of the school, always striving for 100 - that was my motto. just raw ambition for studying, but had not much meaning in studying - no interests in the topic at hand, just wanted to be at top. this song got stuck in my head so much and probably changed my life. got into an ivy league school and dropped out after 2 years to find something that's actually has meaning in my life. feels free, stable, and happy i got to discover a road that might be thorny but is not controlled by labels and standards. this music is the embodiment of free spirit n breaking out of the matrix
182	simon	Day 281 listening to pink floyd everyday for 1 year
183	Fernando Arge	Love music
184	Brock Busby	Love it the best. Can not beat it
185	pokerman111111111111	lsd and pink floyd drove me within an inch of insanity when i was 18 now at 50 i realise they are better than i could have imagined - shine on you crazy diamond
186	scoots	The guy who plays the school teacher deserves an Oscar.
187	Gary Harrison	Coolest song video of all time.hands down.
188	francisco jose	Uno de los mejores vio clip musicales o el mejor inigualable
189	Joao Maciel	PINK FLOYD one of the best 👍👍👍👍👍
190	Ana Aver	Adoro
191	imari2305	The moment when the body, mind and soul of a child is grounded up into a slush of nothingness and creativity is mocked and erased. Powerful video and message!! Pink Floyd is amazing!!
192	DaniellaDD5	Wow.... Amazing! Like a good old red wine 🍷
193	Roger uk	Fantastic song and video but watching it made me sad because it reminded me of how I was treated as a kid at school, they would never get away with it today.
194	Simmi Saa	A Classic.. ultimative truth and more as actual 🙏💖🤗
195	Professor Dr. Caio Gracco	Tão atual para os nosso dias aqui no Brasil!!
196	Fernando Fornasier Fernandes	Excelente música, mostrando a realidade da época da repressão, sem liberdade dos jovens.
197	Bush Ronie	Pink Floyd yang tak pernah membosankan aku mau pergi tidur...selalu menemaniku. Terima kasih Pink Floyd❤
198	Terence Petrichor	Given the current mood in Merica, this song hits harder than before...
199	John Turh	Love pink floyd
200	Ray Mccranie	Just a Super Classic. A Treasure. Thank You PF.
201	CoolDoge	Pink Floyd are a genius example of psychedelic rock
202	brandao dos santos ribas	Muito bom fuiiii
203	Paulo Oliveira	Muito louco
204	Gerciley Nascimento	Adoooóoro
205	sayadelfy	This song changed something in education system, it accomplished something. We are really grateful 🙏
206	Faycal Benhassain	Pink Floyd. Probably one of the top 5 bands ever.
207	douglas padilha	quando eu era menor tinha muito medo desse clipe kkkkkkk sonzera
208	Goo r: Gumz	มันดีนะ
209	Helene Noya	Música que todo estudante de pedagogia é obrigado a fazer trabalho
210	simon	Day 291 listening to pink floyd everyday for 1 year.
211	Emanoel leleite	Essa musica é igual vinho quanto mais tempo passa melhor fica
212	Franco Mui	Great song
213	Mani Mostashari	Great song
214	Tracey Royston	Just put this song on going threw my past,this and boomtownrats, and many more, so many memories God bless music from our pasts
215	Carlo Davide Salvo	Unico! Bellissimo!
216	josegeraldonaturezaviva	A boa música não é a que agrada a massa e sim a que agrada a alma
217	Akasiwa Wamunyima	Many decades later, this song is more relevant today.
218	Jesus Lucas	Ótima 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻✌✌✌😁😁
219	tamaz patarkalashvili	The best clip ever!
220	Claudio frontera sin limites	Gracias por guardar estás hobras imaguinen si nunca se ubiera grabado a estos simples mortales lo que nos uvieramos pedido toda nuestra música basada en ellos
221	DarkMaster	The guitar solo always gives me chills till this day.
222	Maritza Peña Mosquera	Buena musica
223	Michelle Huggins	I wish I had been one of those school kids in this music video, having a day off to get up to antics like this, an amagine years later finding out,how influential this music video had been,helping to outlaw Canning,(Corporal punishment, Just Wow,So Cool Anybody out there , who was one of the school kids in this music video what was it like?
224	Sunshine	Hace 1 año que no visito este vídeo, recuerdo a mi yo de 10 años que amaba ese vídeo y la tematica de pink floyd tanto que llego a ser mi grupo favorito Me da gusto saber que entre a este vídeo
225	Geppetto Geppetto	Quando il rock progressivo ti entra!
226	Ankush Shetty	One of the most iconic bass lines.
227	simon	Day 308 listening to pink floyd everyday for 1 year.
228	Rita Dupré	Ja, ein MEISTERWERK von Pink Floyd👌👌👌👌💖💖💖💖
229	Ainmalyz 333	Masterpiece
230	simon	Day 317 listening to pink floyd everyday for 1 year
231	Zachary Thompson	Most anti-authoritarian Rock song. Timeless.
232	Татьяна Яковлева	It's Super🙌🙌🙌👏👏👏
233	Анастасия Розова	Слушайте все, всегда. Это всегда присутствующие , насущное, Неисчерпываещие во все времена реаль людей🎧
234	Татьяна Борисова	Это шедевр
235	Everth Cruz	Talk about a Classic....A Masterpiece song and video....We don't need no education....No Dark Sarcasm in the Classroom.....A Soul Searching Song For Students of Any Generation.... Find Yourself A True Education Folks....Comprendeis Amigos....!!!!
236	tt1688	Still listening after 35+ years !!!! absolutely my all time favorite.
237	Claudio Novais Ramos	Patrimônio cultural da humanidade.
238	Telpenariel	I remember one of the junior high/ high schools I went to as a teen played this song - among others - over the PA system for the entirety of the last day of school. It's one of the few neutral memories I have of that particular school. Most of them are negative and I can't actively recall any positives which my therapist tells me is a symptom of Post Traumatic Stress.... I have no idea if this is accurate or not, but somehow - watching this video - I get kind of a cathartic feeling... I suppose even if the diagnosis is wrong that place still messed me up on some level to get that reaction from me. This comment has been a reflection on memory, music, emotional trauma and how the three can come together to provide a sense of relief.
239	Максим Пузнянский	В 2022 очень актуальный клип. История ошибок не прощает!!!
240	Power2266	this music video freaked me out to hell when i first saw it it still is creepy but still epic song
241	Joseph C	No one can deny the genius of this song
242	Ashleykeithdavidharper	As a dedicated floydian I love this song
243	Jack F	Hard to believe this was written and recorded in the 1970s.
244	Eugen Nicolae Chirculescu	Un super videoclip !!!
245	Vintage Lover Rich	The film is fantastic. Pink Floyd rocks
246	simon	Day 10 listening to Pink floyd everyday for 1 year.
247	Ana Aver	Adoro essa música
248	Geoffrey Williams	This song was so prophetic in its time. Today those kids believing man made climate change. Think about it . . .
249	Nishar Rujubali	Pink floyd was the music creator in this era
250	이융기	Who dare don’t love Pink Floyd?
251	Mannix Volves	Perelka.KOCHAM Pink Floyd
252	Fernando Gonzaga Fadigas	Eterno
253	simon	Day 357 listening to pink floyd everyday for 1 year.
254	Garo Kalyenjian	Wonderful group pink floyd 💟💟💟💟💟💟💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
255	MIR FISHING 503	Algún latino aquí en esta cuarentena escuchando la buena música
256	simon	day 283 listening to pink floyd everyday for 1 year
257	Ahmad Ghaith	رائعه جدا
258	Victor Castillo	Magia 😂😂😂😂🤣🤣🤣🌟🌟
259	simon	Day 333 listening to pink floyd everyday for 1 year
260	Nancy Salgado G.	Viva Pink Floyd por Siempre.😊😄😆
261	spike Ortiz	Toque esta canción en bateria el sábado 28 de mayo del 2022 en mi colegio
262	Nathalie Didier Bernasconi	❤😍👍❤ 🎼🎶🎵
263	Reinier Burgemeester	Best popmusic videoclip ever!!!
264	Jorge Alexander Caraballo Alfaro	despues de los bestles la mejor sin ninguna duda
265	Pedro Antônio	Uma das melhores músicas de Rock! Mais brasileiros aqui apreciando-a?!
266	José Márcio	OS CHAPÉUS BRANCOS MARCHANDO PARA A VITÓRIA.
267	Kelwin Nunes	❤❤❤❤❤❤❤❤❤ Pink Floyd
268	Ирина Кудря	Голоса ударные гитары обожаю спосибо
269	Козика Владимир	Пинк Флойд на века!
270	Luiz H. Coleções	"*1979: ""Wow, this song is amazing!""* *2019: ""Wow, this song is amazing!""* *3050: ""Wow, this song is amazing!""*"
271	Carlos Vipe	GREAT SONG OF A WONDERFUL ARRANGEMENT, A TOUCHING MELODY AND VIDEO, TOO, OF COURSE. NO WONDER FOR BEING A BIG HIT! BUT ITS THEME IS QUITE POLEMIC FOR THIS CAPITALISTIC WORLD.
272	Renato Pereira De Morais	Isso é som da nata :-)))))
273	Garo Kalyenjian	Wonderful group
274	Владислав Терещенко	ОНИ ПРОВИДЦЫ )))))ТО ЧТО ОНИ ПЕЛИ СЕЙ ЧАС ПРЕТВОРЯЕТСЯ В ЖИЗНЬ)))))
275	Jānis Upenieks	Roses are red. Violets are blue. When I listen to Pink floyd My neighbors do too!
276	Адиль Несипбаев	Наша молодость !!!
277	Paqui Claver campos	Buena música
278	simon	Day 322 listening to pink floyd everyday for 1 year
279	jim schulte	When it came out the supertendent of my school had a big school meeting in the gym. He told us all this album would turn us into alcoholics and drug addicts. No shit i swear to this. Denison High School Denison Iowa. You know what me and my buddy did? We went out and bought the album after school...got high af and discovered a new Floyd. It is quite possibly my favorite album.
280	Lin Choi	"i remember when my dad was addicted to this song and make me listen to haha. he always sang to me and made hand gestures as if he had a guitar in his hand, we laughed a lot. to this day, if I say ""HEY"" in the tone of the song, he repeats ""TEACHER!"" lmao. today he is still alive and likes to see old musics of his time"
281	Francisco Guerrero	Como este Groupon musical no value haver otro
282	Вячеслав Журлов	Нечто! Вечно! Гениально!
283	simon	day 284 listening to pink floyd everyday for 1 year
284	simon	Day 338 listening to pink floyd everyday for 1 yearz….
285	Alvaro Garcia	It's a classic. I love pink floyd
286	Any Colour You Like	No. This is not the worst of David's guitar solos, just because it was mainstream, it is rather one of his absolute finest. believe it or not.
287	Drtriipe	I once took the liberty and listened to a song of yours on mute and holy fuck… It was probably the best decision I’ve ever taken in my life, if you’re reading this do the same just to not damage your ears, thank you.
288	Mon petit grain de sel	🎥🎧🎼MASTERPIECE🎵🎬💎♥️ 27.11.2022
289	psy cho	Après 40 ans ca reste une monstruosité de la musique ce morceau :) Un cataclysme musical !!!!!!!
290	Daniel Ligin	Hey stranger! Yes you, reading the comment! Know that you have an excellent taste in music! Keep on rocking!
291	simon	Day 275 listening to pink floyd everyday for 1 year
292	MIKEL Lionel	I really like this part 2:21
293	Gary Sullivan	Outstanding
294	Joelma De Moura Gin	É muito showww não me canso de ver e ouvir
295	Joel White	Roger Waters the lyricist is the soul of Pink Floyd. Each song is another lesson showing the hidden in plain site programing of the human condition.
296	MrBossEliasus.	"No puedo dejar de escuchar:""Estás son las mañanitas...tara...tarataratara...tara...que cantamos para ti..."" Aaaahhhhh xd"
297	Tamjan prirodni	🎯🌿🔥👍 over 40 years ago they had the vision what's going on!!🎯👏👏
298	Mia Brown	Like 😍😍😍
299	Alex Richmond	PINK FLOYD FOREVER! Alex.Georgia.Tbilisi. 🙋‍♂️❤💐🌈
300	Kathleen Edwards	This song is more revelant today than anytime in modern history.
301	Slinkerdeer	This song becomes more relevant everyday
302	Attila Lako	Pink Floyd were way ahead of their times and every song has strong meaning ! true masterpiece
303	Matthew Smith	This song despite being 32 years old, still is a timeless song and is a pleasure to listen to, compared to the plastic crappy songs of today!
304	Fernando Lopes	Um salve aos brasileiros que gostam de música de qualidade🇧🇷🇧🇷🇧🇷
305	Plumpy Chump	This video terrified me when I was younger, but now I understand the deeper meaning of it, and it all ties into a beautiful video and song.
306	Alok Hota	A Timeless song that sounds so true even after so many years.
307	Una persona nada interesante ae	100% Original 100% Genius 100% Creative 100% Talent 100% of us are here in 2020
308	ATRIBECALLED CAT	One of the most powerful symbolic message of all time. Pure genius video.
309	Elisabeta Voci	I had a terrible abusive teacher in elementary school and i feel so proud that this song exists.
310	simon	Day 364 listening to pink floyd everyday for 1 year
311	Dv	Don't worry.. you're not the only one who is listening to this masterpiece in *2023*
312	Sandra Mara Seara	deixem nossas crianças em Paz
313	Duygu Yasar	Hayvan çiftliği gibi;iç karartıcı...
314	yasmins psychic medium	Love ❤
315	simon	Day 307 listening to pink floyd everyday for 1 year
316	Григорий Рябов	Вот так и начиналась жизнь пацанов и девчат!!!
317	josee Salomone	Unico ,sapevano tutto❤️❤️❤️❤️
318	T Hata	あえて今の時代に必要とされている音楽だと思います♫
319	Xyan	A song that brought revolution and got banned in South Africa. You can imagine how powerful is this song. 🤘
320	Edgar Niño	Solo el pueblo salvará al pueblo
321	simon	Day 292 listening to pink floyd everyday for 1 year.
322	Phantom R	The actual song is not against education, it's against some teachers, that's what part 1 says. People think this song is bad because they only hear part 2. It's still an awesome song...
323	Kristi Sebring	Best music ever! Why would you listen to anything else
324	Deer icecreamcake	My dad used to love this song😊😊 I hope you get a gold play button
325	Verde Natura	Grazie fratellone per avermi fatto amare i Pink Floyd
